section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
05 Data Schema,fields,05.084,What field 'id' is required in collection 'payments'?,Type: uuid; Rule: primary key.,schema_field,MVP,,payments,,,restricted,Create field payments.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.085,What field 'payment_code' is required in collection 'payments'?,Type: string unique; Rule: required.,schema_field,MVP,,payments,,,restricted,Create field payments.payment_code as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.086,What field 'participation_id' is required in collection 'payments'?,Type: many-to-one participations; Rule: required.,schema_field,MVP,,payments,,,restricted,Create field payments.participation_id as many-to-one participations; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.087,What field 'school_id' is required in collection 'payments'?,Type: many-to-one schools; Rule: required.,schema_field,MVP,,payments,,,restricted,Create field payments.school_id as many-to-one schools; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.088,What field 'expected_amount' is required in collection 'payments'?,Type: decimal; Rule: required net amount payable.,schema_field,MVP,,payments,,,restricted,Create field payments.expected_amount as decimal; enforce rule: required net amount payable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.089,What field 'received_amount' is required in collection 'payments'?,Type: decimal; Rule: nullable until paid.,schema_field,MVP,,payments,,,restricted,Create field payments.received_amount as decimal; enforce rule: nullable until paid.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.090,What field 'provider' is required in collection 'payments'?,"Type: enum; Rule: razorpay, manual, bank_transfer.",schema_field,MVP,,payments,,,restricted,"Create field payments.provider as enum; enforce rule: razorpay, manual, bank_transfer.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.091,What field 'provider_link_id' is required in collection 'payments'?,Type: string; Rule: nullable.,schema_field,MVP,,payments,,,restricted,Create field payments.provider_link_id as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.092,What field 'provider_payment_id' is required in collection 'payments'?,Type: string; Rule: nullable.,schema_field,MVP,,payments,,,restricted,Create field payments.provider_payment_id as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.093,What field 'payment_reference' is required in collection 'payments'?,Type: string; Rule: nullable bank/provider reference.,schema_field,MVP,,payments,,,restricted,Create field payments.payment_reference as string; enforce rule: nullable bank/provider reference.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.094,What field 'status' is required in collection 'payments'?,"Type: enum; Rule: draft, link_created, pending, paid, manually_confirmed, failed, expired, reversed, reconciled.",schema_field,MVP,,payments,,,restricted,"Create field payments.status as enum; enforce rule: draft, link_created, pending, paid, manually_confirmed, failed, expired, reversed, reconciled.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.095,What field 'manual_evidence_file' is required in collection 'payments'?,Type: file; Rule: required if manually_confirmed.,schema_field,MVP,,payments,,,restricted,Create field payments.manual_evidence_file as file; enforce rule: required if manually_confirmed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.096,What field 'reversal_reason' is required in collection 'payments'?,Type: text; Rule: required if reversed.,schema_field,MVP,,payments,,,restricted,Create field payments.reversal_reason as text; enforce rule: required if reversed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.097,What field 'reconciled_at' is required in collection 'payments'?,Type: datetime; Rule: nullable.,schema_field,MVP,,payments,,,restricted,Create field payments.reconciled_at as datetime; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,collections,05.098,Should collection 'exam_materials' be created?,Yes.,schema,MVP,,exam_materials,,,sensitive,Create Directus collection exam_materials with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.099,What field 'id' is required in collection 'exam_materials'?,Type: uuid; Rule: primary key.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.100,What field 'material_code' is required in collection 'exam_materials'?,Type: string unique; Rule: required.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.material_code as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.101,What field 'participation_id' is required in collection 'exam_materials'?,Type: many-to-one participations; Rule: nullable for school-specific material.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.participation_id as many-to-one participations; enforce rule: nullable for school-specific material.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.102,What field 'olympiad_id' is required in collection 'exam_materials'?,Type: many-to-one olympiads; Rule: required.,schema_field,MVP,,exam_materials,,,internal,Create field exam_materials.olympiad_id as many-to-one olympiads; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.103,What field 'exam_slot_id' is required in collection 'exam_materials'?,Type: many-to-one exam_slots; Rule: optional.,schema_field,MVP,,exam_materials,,,internal,Create field exam_materials.exam_slot_id as many-to-one exam_slots; enforce rule: optional.,Schema test validates field type and presence.,No
05 Data Schema,fields,05.104,What field 'material_type' is required in collection 'exam_materials'?,"Type: enum; Rule: question_paper, omr_sheet, attendance_sheet, instructions, courier_label, declaration.",schema_field,MVP,,exam_materials,,,internal,"Create field exam_materials.material_type as enum; enforce rule: question_paper, omr_sheet, attendance_sheet, instructions, courier_label, declaration.",Schema test validates field type and presence.,No
05 Data Schema,fields,05.105,What field 'file' is required in collection 'exam_materials'?,Type: file; Rule: required private Directus file.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.file as file; enforce rule: required private Directus file.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.106,What field 'release_at' is required in collection 'exam_materials'?,Type: datetime; Rule: required or null until approved.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.release_at as datetime; enforce rule: required or null until approved.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.107,What field 'expires_at' is required in collection 'exam_materials'?,Type: datetime; Rule: optional.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.expires_at as datetime; enforce rule: optional.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.108,What field 'download_count' is required in collection 'exam_materials'?,Type: integer; Rule: computed or maintained.,schema_field,MVP,,exam_materials,,,restricted,Create field exam_materials.download_count as integer; enforce rule: computed or maintained.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.109,What field 'status' is required in collection 'exam_materials'?,"Type: enum; Rule: draft, approved, released, expired, revoked.",schema_field,MVP,,exam_materials,,,restricted,"Create field exam_materials.status as enum; enforce rule: draft, approved, released, expired, revoked.",Schema test validates field type and presence.,Yes
05 Data Schema,collections,05.110,Should collection 'courier_batches' be created?,Yes.,schema,MVP,,courier_batches,,,sensitive,Create Directus collection courier_batches with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.111,What field 'id' is required in collection 'courier_batches'?,Type: uuid; Rule: primary key.,schema_field,MVP,,courier_batches,,,restricted,Create field courier_batches.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.112,What field 'batch_code' is required in collection 'courier_batches'?,Type: string unique; Rule: required.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.batch_code as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.113,What field 'school_id' is required in collection 'courier_batches'?,Type: many-to-one schools; Rule: required.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.school_id as many-to-one schools; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.114,What field 'participation_id' is required in collection 'courier_batches'?,Type: many-to-one participations; Rule: required.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.participation_id as many-to-one participations; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.115,What field 'courier_company' is required in collection 'courier_batches'?,Type: string; Rule: required when dispatched.,schema_field,MVP,,courier_batches,,,internal,Create field courier_batches.courier_company as string; enforce rule: required when dispatched.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.116,What field 'awb_number' is required in collection 'courier_batches'?,Type: string; Rule: required when dispatched.,schema_field,MVP,,courier_batches,,,internal,Create field courier_batches.awb_number as string; enforce rule: required when dispatched.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.117,What field 'dispatch_date' is required in collection 'courier_batches'?,Type: date; Rule: required when dispatched.,schema_field,MVP,,courier_batches,,,internal,Create field courier_batches.dispatch_date as date; enforce rule: required when dispatched.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.118,What field 'package_count' is required in collection 'courier_batches'?,Type: integer; Rule: required.,schema_field,MVP,,courier_batches,,,internal,Create field courier_batches.package_count as integer; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.119,What field 'sheets_expected' is required in collection 'courier_batches'?,Type: integer; Rule: required.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.sheets_expected as integer; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.120,What field 'sheets_dispatched' is required in collection 'courier_batches'?,Type: integer; Rule: required.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.sheets_dispatched as integer; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.121,What field 'sheets_received' is required in collection 'courier_batches'?,Type: integer; Rule: nullable until receipt.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.sheets_received as integer; enforce rule: nullable until receipt.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.122,What field 'receipt_file' is required in collection 'courier_batches'?,Type: file; Rule: courier proof upload.,schema_field,MVP,,courier_batches,,,sensitive,Create field courier_batches.receipt_file as file; enforce rule: courier proof upload.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.123,What field 'seal_condition' is required in collection 'courier_batches'?,"Type: enum; Rule: intact, broken, missing, not_applicable.",schema_field,MVP,,courier_batches,,,sensitive,"Create field courier_batches.seal_condition as enum; enforce rule: intact, broken, missing, not_applicable.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.124,What field 'status' is required in collection 'courier_batches'?,"Type: enum; Rule: pending, dispatched, received, exception, closed.",schema_field,MVP,,courier_batches,,,internal,"Create field courier_batches.status as enum; enforce rule: pending, dispatched, received, exception, closed.",Schema test validates field type and presence.,No
05 Data Schema,collections,05.125,Should collection 'omr_imports' be created?,Yes.,schema,MVP,,omr_imports,,,restricted,Create Directus collection omr_imports with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.126,What field 'id' is required in collection 'omr_imports'?,Type: uuid; Rule: primary key.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.127,What field 'import_code' is required in collection 'omr_imports'?,Type: string unique; Rule: required.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.import_code as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.128,What field 'participation_id' is required in collection 'omr_imports'?,Type: many-to-one participations; Rule: required.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.participation_id as many-to-one participations; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.129,What field 'courier_batch_id' is required in collection 'omr_imports'?,Type: many-to-one courier_batches; Rule: required.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.courier_batch_id as many-to-one courier_batches; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.130,What field 'uploaded_file' is required in collection 'omr_imports'?,Type: file; Rule: required result CSV.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.uploaded_file as file; enforce rule: required result CSV.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.131,What field 'row_count' is required in collection 'omr_imports'?,Type: integer; Rule: computed.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.row_count as integer; enforce rule: computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.132,What field 'valid_count' is required in collection 'omr_imports'?,Type: integer; Rule: computed.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.valid_count as integer; enforce rule: computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.133,What field 'error_count' is required in collection 'omr_imports'?,Type: integer; Rule: computed.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.error_count as integer; enforce rule: computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.134,What field 'review_status' is required in collection 'omr_imports'?,"Type: enum; Rule: uploaded, validated, exceptions_found, reviewed, approved, rejected.",schema_field,MVP,,omr_imports,,,restricted,"Create field omr_imports.review_status as enum; enforce rule: uploaded, validated, exceptions_found, reviewed, approved, rejected.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.135,What field 'uploaded_by' is required in collection 'omr_imports'?,Type: many-to-one directus_users; Rule: required.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.uploaded_by as many-to-one directus_users; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.136,What field 'approved_by' is required in collection 'omr_imports'?,Type: many-to-one directus_users; Rule: nullable.,schema_field,MVP,,omr_imports,,,restricted,Create field omr_imports.approved_by as many-to-one directus_users; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,collections,05.137,Should collection 'results' be created?,Yes.,schema,MVP,,results,,,sensitive,Create Directus collection results with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.138,What field 'id' is required in collection 'results'?,Type: uuid; Rule: primary key.,schema_field,MVP,,results,,,restricted,Create field results.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.139,What field 'result_code' is required in collection 'results'?,Type: string unique; Rule: required.,schema_field,MVP,,results,,,sensitive,Create field results.result_code as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.140,What field 'student_id' is required in collection 'results'?,Type: many-to-one students; Rule: required.,schema_field,MVP,,results,,,sensitive,Create field results.student_id as many-to-one students; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.141,What field 'participation_id' is required in collection 'results'?,Type: many-to-one participations; Rule: required.,schema_field,MVP,,results,,,sensitive,Create field results.participation_id as many-to-one participations; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.142,What field 'school_id' is required in collection 'results'?,Type: many-to-one schools; Rule: required isolation.,schema_field,MVP,,results,,,sensitive,Create field results.school_id as many-to-one schools; enforce rule: required isolation.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.143,What field 'raw_score' is required in collection 'results'?,Type: decimal; Rule: required after import.,schema_field,MVP,,results,,,sensitive,Create field results.raw_score as decimal; enforce rule: required after import.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.144,What field 'max_marks' is required in collection 'results'?,Type: decimal; Rule: required.,schema_field,MVP,,results,,,internal,Create field results.max_marks as decimal; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.145,What field 'percentage' is required in collection 'results'?,Type: decimal; Rule: computed.,schema_field,MVP,,results,,,sensitive,Create field results.percentage as decimal; enforce rule: computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.146,What field 'school_rank' is required in collection 'results'?,Type: integer; Rule: computed.,schema_field,MVP,,results,,,sensitive,Create field results.school_rank as integer; enforce rule: computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.147,What field 'city_rank' is required in collection 'results'?,Type: integer; Rule: optional computed.,schema_field,MVP,,results,,,sensitive,Create field results.city_rank as integer; enforce rule: optional computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.148,What field 'state_rank' is required in collection 'results'?,Type: integer; Rule: optional computed.,schema_field,MVP,,results,,,sensitive,Create field results.state_rank as integer; enforce rule: optional computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.149,What field 'national_rank' is required in collection 'results'?,Type: integer; Rule: optional computed.,schema_field,MVP,,results,,,sensitive,Create field results.national_rank as integer; enforce rule: optional computed.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.150,What field 'award_category' is required in collection 'results'?,"Type: enum; Rule: participation, bronze, silver, gold, topper, merit.",schema_field,MVP,,results,,,sensitive,"Create field results.award_category as enum; enforce rule: participation, bronze, silver, gold, topper, merit.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.151,What field 'status' is required in collection 'results'?,"Type: enum; Rule: draft, imported, under_review, approved, published, corrected, withheld.",schema_field,MVP,,results,,,sensitive,"Create field results.status as enum; enforce rule: draft, imported, under_review, approved, published, corrected, withheld.",Schema test validates field type and presence.,Yes
05 Data Schema,collections,05.152,Should collection 'certificates' be created?,Yes.,schema,MVP,,certificates,,,sensitive,Create Directus collection certificates with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.153,What field 'id' is required in collection 'certificates'?,Type: uuid; Rule: primary key.,schema_field,MVP,,certificates,,,restricted,Create field certificates.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.154,What field 'certificate_number' is required in collection 'certificates'?,Type: string unique; Rule: required.,schema_field,MVP,,certificates,,,sensitive,Create field certificates.certificate_number as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.155,What field 'verification_code' is required in collection 'certificates'?,Type: string unique; Rule: required public-safe.,schema_field,MVP,,certificates,,,public,Create field certificates.verification_code as string unique; enforce rule: required public-safe.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.156,What field 'student_id' is required in collection 'certificates'?,Type: many-to-one students; Rule: required.,schema_field,MVP,,certificates,,,sensitive,Create field certificates.student_id as many-to-one students; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.157,What field 'result_id' is required in collection 'certificates'?,Type: many-to-one results; Rule: required.,schema_field,MVP,,certificates,,,sensitive,Create field certificates.result_id as many-to-one results; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.158,What field 'school_id' is required in collection 'certificates'?,Type: many-to-one schools; Rule: required isolation.,schema_field,MVP,,certificates,,,sensitive,Create field certificates.school_id as many-to-one schools; enforce rule: required isolation.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.159,What field 'certificate_type' is required in collection 'certificates'?,"Type: enum; Rule: participation, merit, topper, appreciation.",schema_field,MVP,,certificates,,,public,"Create field certificates.certificate_type as enum; enforce rule: participation, merit, topper, appreciation.",Schema test validates field type and presence.,No
05 Data Schema,fields,05.160,What field 'pdf_file' is required in collection 'certificates'?,Type: file; Rule: private generated certificate.,schema_field,MVP,,certificates,,,sensitive,Create field certificates.pdf_file as file; enforce rule: private generated certificate.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.161,What field 'issued_at' is required in collection 'certificates'?,Type: datetime; Rule: nullable until generated.,schema_field,MVP,,certificates,,,public,Create field certificates.issued_at as datetime; enforce rule: nullable until generated.,Schema test validates field type and presence.,No
05 Data Schema,fields,05.162,What field 'revoked_at' is required in collection 'certificates'?,Type: datetime; Rule: nullable.,schema_field,MVP,,certificates,,,public,Create field certificates.revoked_at as datetime; enforce rule: nullable.,Schema test validates field type and presence.,No
05 Data Schema,fields,05.163,What field 'revocation_reason' is required in collection 'certificates'?,Type: text; Rule: required if revoked.,schema_field,MVP,,certificates,,,restricted,Create field certificates.revocation_reason as text; enforce rule: required if revoked.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.164,What field 'status' is required in collection 'certificates'?,"Type: enum; Rule: draft, generated, issued, revoked.",schema_field,MVP,,certificates,,,public,"Create field certificates.status as enum; enforce rule: draft, generated, issued, revoked.",Schema test validates field type and presence.,No
05 Data Schema,collections,05.165,Should collection 'audit_events' be created?,Yes.,schema,MVP,,audit_events,,,restricted,Create Directus collection audit_events with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.166,What field 'id' is required in collection 'audit_events'?,Type: uuid; Rule: primary key.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.id as uuid; enforce rule: primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.167,What field 'trace_id' is required in collection 'audit_events'?,Type: string unique; Rule: required.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.trace_id as string unique; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.168,What field 'actor_user_id' is required in collection 'audit_events'?,Type: many-to-one directus_users; Rule: nullable for system events.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.actor_user_id as many-to-one directus_users; enforce rule: nullable for system events.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.169,What field 'actor_role' is required in collection 'audit_events'?,Type: string; Rule: required if actor known.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.actor_role as string; enforce rule: required if actor known.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.170,What field 'action' is required in collection 'audit_events'?,Type: string; Rule: required.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.action as string; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.171,What field 'entity_name' is required in collection 'audit_events'?,Type: string; Rule: required.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.entity_name as string; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.172,What field 'entity_id' is required in collection 'audit_events'?,Type: string; Rule: required.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.entity_id as string; enforce rule: required.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.173,What field 'previous_status' is required in collection 'audit_events'?,Type: string; Rule: nullable.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.previous_status as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.174,What field 'new_status' is required in collection 'audit_events'?,Type: string; Rule: nullable.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.new_status as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.175,What field 'ip_address' is required in collection 'audit_events'?,Type: string; Rule: nullable.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.ip_address as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.176,What field 'external_reference' is required in collection 'audit_events'?,Type: string; Rule: nullable.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.external_reference as string; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.177,What field 'reason' is required in collection 'audit_events'?,Type: text; Rule: nullable.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.reason as text; enforce rule: nullable.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.178,What field 'created_at' is required in collection 'audit_events'?,Type: datetime; Rule: system generated.,schema_field,MVP,,audit_events,,,restricted,Create field audit_events.created_at as datetime; enforce rule: system generated.,Schema test validates field type and presence.,Yes
06 Features,school_registration,06.001,What is feature 'School Registration' purpose?,Capture school interest/registration and create a participation record.,feature,MVP,school_coordinator,"schools,participations",school_onboarding,,Public invite or controlled registration token; public form must not expose existing school data.,Implement feature module school_registration with server-side business rules.,Feature smoke test verifies School Registration happy path.,Yes
06 Features,email_campaigns,06.500,What features does the Email Campaigns page include?,"Founder-chosen scope (spec/campaign_scope.json via the /campaignspec visual picker): compose (rich/drag/html/templates/AI-paste) + attachments/media + desktop/mobile preview + send-test + spam-score + merge-tags + conditional + recipients (directory-select/segments/suppression/dedup) + send-now/schedule/throttle/create-in-Brevo/channels + open/click/bounce/per-recipient tracking + sender-domain/unsubscribe/consent + Brevo via the provider gateway.",feature_scope,MVP,staff,email_campaigns,,,internal,Build OJ-O3 to spec/campaign_scope.json; each feature central/source-driven; track wired/shell/pending.,The campaigns page matches the chosen scope.,Yes
06 Features,school_registration,06.002,What inputs does 'School Registration' require?,"school name, board, city, state, coordinator name/email/mobile, olympiad selection, estimated students, consent declaration acceptance",feature_input,MVP,school_coordinator,"schools,participations",school_onboarding,,sensitive,Create form/API input contract for school_registration.,Validate required inputs and invalid input errors.,Yes
06 Features,school_registration,06.003,What outputs does 'School Registration' produce?,"school record, participation record, registration_received status, acknowledgement notification",feature_output,MVP,school_coordinator,"schools,participations",school_onboarding,,internal,Create output/status updates for school_registration.,Verify expected record/status changes.,Yes
06 Features,school_registration,06.004,What gates/validations apply to 'School Registration'?,"Valid coordinator email, no duplicate active school registration for same olympiad, required terms accepted",feature_gate,MVP,school_coordinator,"schools,participations",school_onboarding,,restricted,Enforce gates server-side for school_registration.,Run negative tests for gate failure cases.,Yes
06 Features,school_registration,06.005,What security rule applies to 'School Registration'?,Public invite or controlled registration token; public form must not expose existing school data.,feature_security,MVP,school_coordinator,"schools,participations",school_onboarding,,restricted,Implement security control for school_registration.,Run permission/isolation test for this feature.,Yes
06 Features,school_approval,06.006,What is feature 'School Approval' purpose?,Approve a registered school and enable coordinator portal access.,feature,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,Approval action audited; school user scoped to one school_id.,Implement feature module school_approval with server-side business rules.,Feature smoke test verifies School Approval happy path.,Yes
06 Features,school_approval,06.007,What inputs does 'School Approval' require?,"registration record, approval notes, coordinator identity",feature_input,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,sensitive,Create form/API input contract for school_approval.,Validate required inputs and invalid input errors.,Yes
06 Features,school_approval,06.008,What outputs does 'School Approval' produce?,"approved school, active/invited coordinator user, students_open status",feature_output,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,internal,Create output/status updates for school_approval.,Verify expected record/status changes.,Yes
06 Features,school_approval,06.009,What gates/validations apply to 'School Approval'?,"Only operations_staff, finverse_admin, or system_admin can approve; duplicate school review completed",feature_gate,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,restricted,Enforce gates server-side for school_approval.,Run negative tests for gate failure cases.,Yes
06 Features,school_approval,06.010,What security rule applies to 'School Approval'?,Approval action audited; school user scoped to one school_id.,feature_security,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,restricted,Implement security control for school_approval.,Run permission/isolation test for this feature.,Yes
06 Features,coordinator_login,06.011,What is feature 'School Coordinator Login' purpose?,Allow a school coordinator to access the school portal.,feature,MVP,school_coordinator,"school_users,directus_users",authentication,,HTTP-only cookies or secure token handling; no Directus admin token in browser.,Implement feature module coordinator_login with server-side business rules.,Feature smoke test verifies School Coordinator Login happy path.,Yes
06 Features,coordinator_login,06.012,What inputs does 'School Coordinator Login' require?,email/password or invite token/password reset flow,feature_input,MVP,school_coordinator,"school_users,directus_users",authentication,,sensitive,Create form/API input contract for coordinator_login.,Validate required inputs and invalid input errors.,Yes
06 Features,coordinator_login,06.013,What outputs does 'School Coordinator Login' produce?,"secure session, role scope, school dashboard access",feature_output,MVP,school_coordinator,"school_users,directus_users",authentication,,internal,Create output/status updates for coordinator_login.,Verify expected record/status changes.,Yes
06 Features,coordinator_login,06.014,What gates/validations apply to 'School Coordinator Login'?,User must be active and linked to one approved school.,feature_gate,MVP,school_coordinator,"school_users,directus_users",authentication,,restricted,Enforce gates server-side for coordinator_login.,Run negative tests for gate failure cases.,Yes
06 Features,coordinator_login,06.015,What security rule applies to 'School Coordinator Login'?,HTTP-only cookies or secure token handling; no Directus admin token in browser.,feature_security,MVP,school_coordinator,"school_users,directus_users",authentication,,restricted,Implement security control for coordinator_login.,Run permission/isolation test for this feature.,Yes
