section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
02 Actors,actors,02.085,What is actor email_provider display name?,Email Provider,actor_definition,MVP,email_provider,actor,,,internal,Implement actor rule for email_provider: name.,Verify actor rule for email_provider: name.,Yes
02 Actors,actors,02.086,What type is actor email_provider?,external_api,actor_definition,MVP,email_provider,actor,,,internal,Implement actor rule for email_provider: type.,Verify actor rule for email_provider: type.,Yes
02 Actors,actors,02.087,Does actor email_provider log in?,no,auth_requirement,MVP,email_provider,user,,,internal,Implement actor rule for email_provider: login.,Verify actor rule for email_provider: login.,Yes
02 Actors,actors,02.088,What dashboard does actor email_provider need?,external,ux_requirement,MVP,email_provider,screen,,,internal,Implement actor rule for email_provider: dashboard.,Verify actor rule for email_provider: dashboard.,Yes
02 Actors,actors,02.089,What data scope applies to actor email_provider?,transactional/campaign emails,permission_scope,MVP,email_provider,permission,,,restricted,Implement actor rule for email_provider: scope.,Verify actor rule for email_provider: scope.,Yes
02 Actors,actors,02.090,What records can actor email_provider create?,delivery events,permission_scope,MVP,email_provider,permission,,,restricted,Implement actor rule for email_provider: creates.,Verify actor rule for email_provider: creates.,Yes
02 Actors,actors,02.091,What must actor email_provider never do?,must not receive sensitive unnecessary payloads,negative_requirement,MVP,email_provider,permission,,,restricted,Implement actor rule for email_provider: never.,Verify actor rule for email_provider: never.,Yes
02 Actors,actors,02.092,What is actor omr_engine display name?,OMR Engine,actor_definition,MVP,omr_engine,actor,,,internal,Implement actor rule for omr_engine: name.,Verify actor rule for omr_engine: name.,Yes
02 Actors,actors,02.093,What type is actor omr_engine?,external/internal_tool,actor_definition,MVP,omr_engine,actor,,,internal,Implement actor rule for omr_engine: type.,Verify actor rule for omr_engine: type.,Yes
02 Actors,actors,02.094,Does actor omr_engine log in?,no,auth_requirement,MVP,omr_engine,user,,,internal,Implement actor rule for omr_engine: login.,Verify actor rule for omr_engine: login.,Yes
02 Actors,actors,02.095,What dashboard does actor omr_engine need?,no,ux_requirement,MVP,omr_engine,screen,,,internal,Implement actor rule for omr_engine: dashboard.,Verify actor rule for omr_engine: dashboard.,Yes
02 Actors,actors,02.096,What data scope applies to actor omr_engine?,scanned answer sheets and result CSV,permission_scope,MVP,omr_engine,permission,,,restricted,Implement actor rule for omr_engine: scope.,Verify actor rule for omr_engine: scope.,Yes
02 Actors,actors,02.097,What records can actor omr_engine create?,raw score outputs,permission_scope,MVP,omr_engine,permission,,,restricted,Implement actor rule for omr_engine: creates.,Verify actor rule for omr_engine: creates.,Yes
02 Actors,actors,02.098,What must actor omr_engine never do?,must not auto-publish results,negative_requirement,MVP,omr_engine,permission,,,restricted,Implement actor rule for omr_engine: never.,Verify actor rule for omr_engine: never.,Yes
03 Roles and Permissions,roles,03.001,What is the data scope for role system_admin?,global,permission,MVP,system_admin,permission,,,restricted,Configure Directus role system_admin: scope.,Permission test verifies system_admin: scope.,Yes
03 Roles and Permissions,roles,03.002,Which collections can role system_admin access?,all collections,permission,MVP,system_admin,collection,,,restricted,Configure Directus role system_admin: collections.,Permission test verifies system_admin: collections.,Yes
03 Roles and Permissions,roles,03.003,Which field restrictions apply to role system_admin?,all fields,permission,MVP,system_admin,field,,,restricted,Configure Directus role system_admin: field_restrictions.,Permission test verifies system_admin: field_restrictions.,Yes
03 Roles and Permissions,roles,03.004,What policy summary applies to role system_admin?,Full platform configuration; destructive actions require explicit confirmation and audit.,permission,MVP,system_admin,permission,,,restricted,Configure Directus role system_admin: policy.,Permission test verifies system_admin: policy.,Yes
03 Roles and Permissions,roles,03.005,What is the data scope for role finverse_admin?,global,permission,MVP,finverse_admin,permission,,,restricted,Configure Directus role finverse_admin: scope.,Permission test verifies finverse_admin: scope.,Yes
03 Roles and Permissions,roles,03.006,Which collections can role finverse_admin access?,all business collections,permission,MVP,finverse_admin,collection,,,restricted,Configure Directus role finverse_admin: collections.,Permission test verifies finverse_admin: collections.,Yes
03 Roles and Permissions,roles,03.007,Which field restrictions apply to role finverse_admin?,all non-secret fields,permission,MVP,finverse_admin,field,,,restricted,Configure Directus role finverse_admin: field_restrictions.,Permission test verifies finverse_admin: field_restrictions.,Yes
03 Roles and Permissions,roles,03.008,What policy summary applies to role finverse_admin?,"Can configure olympiads, slots, materials, approvals; cannot bypass audit.",permission,MVP,finverse_admin,permission,,,restricted,Configure Directus role finverse_admin: policy.,Permission test verifies finverse_admin: policy.,Yes
03 Roles and Permissions,roles,03.009,What is the data scope for role sales_staff?,assigned_or_all_schools,permission,MVP,sales_staff,permission,,,internal,Configure Directus role sales_staff: scope.,Permission test verifies sales_staff: scope.,Yes
03 Roles and Permissions,roles,03.010,Which collections can role sales_staff access?,"schools, participations limited sales fields",permission,MVP,sales_staff,collection,,,internal,Configure Directus role sales_staff: collections.,Permission test verifies sales_staff: collections.,Yes
03 Roles and Permissions,roles,03.011,Which field restrictions apply to role sales_staff?,"no student marks, no payment internals",permission,MVP,sales_staff,field,,,internal,Configure Directus role sales_staff: field_restrictions.,Permission test verifies sales_staff: field_restrictions.,Yes
03 Roles and Permissions,roles,03.012,What policy summary applies to role sales_staff?,Can manage lead/onboarding status only.,permission,MVP,sales_staff,permission,,,internal,Configure Directus role sales_staff: policy.,Permission test verifies sales_staff: policy.,Yes
03 Roles and Permissions,roles,03.013,What is the data scope for role finance_staff?,all_payments,permission,MVP,finance_staff,permission,,,restricted,Configure Directus role finance_staff: scope.,Permission test verifies finance_staff: scope.,Yes
03 Roles and Permissions,roles,03.014,Which collections can role finance_staff access?,"payments, participations payment fields, schools billing fields",permission,MVP,finance_staff,collection,,,restricted,Configure Directus role finance_staff: collections.,Permission test verifies finance_staff: collections.,Yes
03 Roles and Permissions,roles,03.015,Which field restrictions apply to role finance_staff?,no marks/ranking edits,permission,MVP,finance_staff,field,,,restricted,Configure Directus role finance_staff: field_restrictions.,Permission test verifies finance_staff: field_restrictions.,Yes
03 Roles and Permissions,roles,03.016,What policy summary applies to role finance_staff?,Can confirm/reconcile/reverse payments with evidence.,permission,MVP,finance_staff,permission,,,restricted,Configure Directus role finance_staff: policy.,Permission test verifies finance_staff: policy.,Yes
03 Roles and Permissions,roles,03.017,What is the data scope for role operations_staff?,all_operations,permission,MVP,operations_staff,permission,,,internal,Configure Directus role operations_staff: scope.,Permission test verifies operations_staff: scope.,Yes
03 Roles and Permissions,roles,03.018,Which collections can role operations_staff access?,"exam_slots, exam_materials, courier_batches, participations logistics fields",permission,MVP,operations_staff,collection,,,internal,Configure Directus role operations_staff: collections.,Permission test verifies operations_staff: collections.,Yes
03 Roles and Permissions,roles,03.019,Which field restrictions apply to role operations_staff?,"no payment reversal, no ranking approval",permission,MVP,operations_staff,field,,,internal,Configure Directus role operations_staff: field_restrictions.,Permission test verifies operations_staff: field_restrictions.,Yes
03 Roles and Permissions,roles,03.020,What policy summary applies to role operations_staff?,Can manage exam logistics and file release after payment gate.,permission,MVP,operations_staff,permission,,,internal,Configure Directus role operations_staff: policy.,Permission test verifies operations_staff: policy.,Yes
03 Roles and Permissions,roles,03.021,What is the data scope for role evaluator?,assigned_batches,permission,MVP,evaluator,permission,,,sensitive,Configure Directus role evaluator: scope.,Permission test verifies evaluator: scope.,Yes
03 Roles and Permissions,roles,03.022,Which collections can role evaluator access?,"courier_batches assigned, omr_imports, results draft fields",permission,MVP,evaluator,collection,,,sensitive,Configure Directus role evaluator: collections.,Permission test verifies evaluator: collections.,Yes
03 Roles and Permissions,roles,03.023,Which field restrictions apply to role evaluator?,"no parent contact, no payment data",permission,MVP,evaluator,field,,,sensitive,Configure Directus role evaluator: field_restrictions.,Permission test verifies evaluator: field_restrictions.,Yes
03 Roles and Permissions,roles,03.024,What policy summary applies to role evaluator?,Can import/review scores but cannot publish.,permission,MVP,evaluator,permission,,,sensitive,Configure Directus role evaluator: policy.,Permission test verifies evaluator: policy.,Yes
03 Roles and Permissions,roles,03.025,What is the data scope for role results_approver?,all_results,permission,MVP,results_approver,permission,,,sensitive,Configure Directus role results_approver: scope.,Permission test verifies results_approver: scope.,Yes
03 Roles and Permissions,roles,03.026,Which collections can role results_approver access?,"results, certificates, students minimal identity, schools",permission,MVP,results_approver,collection,,,sensitive,Configure Directus role results_approver: collections.,Permission test verifies results_approver: collections.,Yes
03 Roles and Permissions,roles,03.027,Which field restrictions apply to role results_approver?,no payment reversal,permission,MVP,results_approver,field,,,sensitive,Configure Directus role results_approver: field_restrictions.,Permission test verifies results_approver: field_restrictions.,Yes
03 Roles and Permissions,roles,03.028,What policy summary applies to role results_approver?,Can approve/publish results and certificates after checks.,permission,MVP,results_approver,permission,,,sensitive,Configure Directus role results_approver: policy.,Permission test verifies results_approver: policy.,Yes
03 Roles and Permissions,roles,03.029,What is the data scope for role school_coordinator?,own_school_only,permission,MVP,school_coordinator,permission,,,sensitive,Configure Directus role school_coordinator: scope.,Permission test verifies school_coordinator: scope.,Yes
03 Roles and Permissions,roles,03.030,Which collections can role school_coordinator access?,"own school, own participation, own students, own files, own results/certificates",permission,MVP,school_coordinator,collection,,,sensitive,Configure Directus role school_coordinator: collections.,Permission test verifies school_coordinator: collections.,Yes
03 Roles and Permissions,roles,03.031,Which field restrictions apply to role school_coordinator?,"internal notes, other schools, finance internals, evaluation notes",permission,MVP,school_coordinator,field,,,sensitive,Configure Directus role school_coordinator: field_restrictions.,Permission test verifies school_coordinator: field_restrictions.,Yes
03 Roles and Permissions,roles,03.032,What policy summary applies to role school_coordinator?,"Can upload students, book slots, download own materials, submit courier, view own results.",permission,MVP,school_coordinator,permission,,,sensitive,Configure Directus role school_coordinator: policy.,Permission test verifies school_coordinator: policy.,Yes
03 Roles and Permissions,permission_rules,03.P001,Should public role access private collections?,"No. Public role has no access to schools, students, payments, files, results, or certificates except limited certificate verification endpoint.",security_rule,MVP,public,all_private_collections,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P002,Should school coordinator access be item-level filtered?,Yes. Every school coordinator query must be filtered by own school_id.,security_rule,MVP,school_coordinator,all_school_scoped_entities,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P003,Can school coordinator export students?,"Yes, own school only, excluding internal notes and evaluation fields.",security_rule,MVP,school_coordinator,students,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P004,Can school coordinator delete students?,No after final count; before final count deletion may be replaced by mark inactive if needed.,security_rule,MVP,school_coordinator,students,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P005,Can evaluator see parent contact?,"No. Evaluators see candidate ID, school code, answer sheet number, score fields, and exception notes only.",security_rule,MVP,evaluator,students/results,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P006,Can finance staff manually mark paid?,"Yes, only with evidence fields and audit log.",security_rule,MVP,finance_staff,payments,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P007,Can finance staff reverse payment?,"Yes, with reason, evidence and audit; system admin also allowed.",security_rule,MVP,finance_staff,payments,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P008,Can operations release exam materials before payment?,No. Server-side gate requires paid or manually confirmed payment status.,security_rule,MVP,operations_staff,exam_materials,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P009,Can results be published by evaluator?,No. Only results_approver or finverse_admin can publish after review status.,security_rule,MVP,evaluator,results,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P010,Can certificates be public?,Certificate files are private; public verification returns limited metadata only.,security_rule,MVP,public,certificates,,,sensitive,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P011,Is MFA required for admins?,Yes for system_admin and finverse_admin where Directus/identity configuration supports it.,security_rule,MVP,system_admin,users,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
03 Roles and Permissions,permission_rules,03.P012,Are destructive actions allowed by default?,No. Delete permissions disabled except system_admin with explicit approval; prefer archive/status fields.,security_rule,MVP,all,all,,,restricted,"Implement as Directus permission, server route guard, and test.",Run negative and positive permission tests.,Yes
04 Domain Dictionary,domain_dictionary,04.001,What is the term 'school'?,Organisation participating in Versa Olympiads.,dictionary,MVP,,schools,,,sensitive,"Use canonical term school in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.002,What type is 'school'?,entity,dictionary,MVP,,schools,,,sensitive,Classify school as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.003,What is the primary identifier for 'school'?,school_code,dictionary,MVP,,schools,,,sensitive,Ensure identifier school_code exists or is mapped for school.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.004,What is the term 'school_coordinator'?,External school staff member operating the school portal.,dictionary,MVP,,school_users,,,sensitive,"Use canonical term school_coordinator in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.005,What type is 'school_coordinator'?,actor,dictionary,MVP,,school_users,,,sensitive,Classify school_coordinator as actor.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.006,What is the primary identifier for 'school_coordinator'?,user_id,dictionary,MVP,,school_users,,,sensitive,Ensure identifier user_id exists or is mapped for school_coordinator.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.007,What is the term 'olympiad'?,Competition product offered for selected grades/subjects in an academic season.,dictionary,MVP,,olympiads,,,internal,"Use canonical term olympiad in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.008,What type is 'olympiad'?,entity,dictionary,MVP,,olympiads,,,internal,Classify olympiad as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.009,What is the primary identifier for 'olympiad'?,olympiad_code,dictionary,MVP,,olympiads,,,internal,Ensure identifier olympiad_code exists or is mapped for olympiad.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.010,What is the term 'participation'?,A school’s registration instance for one olympiad/season.,dictionary,MVP,,participations,,,sensitive,"Use canonical term participation in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.011,What type is 'participation'?,entity,dictionary,MVP,,participations,,,sensitive,Classify participation as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.012,What is the primary identifier for 'participation'?,participation_id,dictionary,MVP,,participations,,,sensitive,Ensure identifier participation_id exists or is mapped for participation.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.013,What is the term 'student'?,Child participant submitted by a school for one or more olympiads.,dictionary,MVP,,students,,,sensitive,"Use canonical term student in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.014,What type is 'student'?,entity,dictionary,MVP,,students,,,sensitive,Classify student as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.015,What is the primary identifier for 'student'?,candidate_id,dictionary,MVP,,students,,,sensitive,Ensure identifier candidate_id exists or is mapped for student.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.016,What is the term 'candidate_id'?,"Unique exam participant identifier printed/used across OMR, result and certificate.",dictionary,MVP,,students,,,sensitive,"Use canonical term candidate_id in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.017,What type is 'candidate_id'?,identifier,dictionary,MVP,,students,,,sensitive,Classify candidate_id as identifier.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.018,What is the primary identifier for 'candidate_id'?,candidate_id,dictionary,MVP,,students,,,sensitive,Ensure identifier candidate_id exists or is mapped for candidate_id.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.019,What is the term 'exam_slot'?,Date/time capacity window for exam administration.,dictionary,MVP,,exam_slots,,,internal,"Use canonical term exam_slot in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.020,What type is 'exam_slot'?,entity,dictionary,MVP,,exam_slots,,,internal,Classify exam_slot as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.021,What is the primary identifier for 'exam_slot'?,slot_id,dictionary,MVP,,exam_slots,,,internal,Ensure identifier slot_id exists or is mapped for exam_slot.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.022,What is the term 'payment'?,Record of expected/received amount from school to Finverse.,dictionary,MVP,,payments,,,restricted,"Use canonical term payment in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.023,What type is 'payment'?,entity,dictionary,MVP,,payments,,,restricted,Classify payment as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.024,What is the primary identifier for 'payment'?,payment_id,dictionary,MVP,,payments,,,restricted,Ensure identifier payment_id exists or is mapped for payment.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.025,What is the term 'commission'?,Amount retained by school from parent collections before paying Finverse.,dictionary,MVP,,payments,,,internal,"Use canonical term commission in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.026,What type is 'commission'?,amount,dictionary,MVP,,payments,,,internal,Classify commission as amount.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.027,What is the primary identifier for 'commission'?,commission_amount,dictionary,MVP,,payments,,,internal,Ensure identifier commission_amount exists or is mapped for commission.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.028,What is the term 'exam_material'?,"Private downloadable file such as question paper, OMR sheet or attendance sheet.",dictionary,MVP,,exam_materials,,,restricted,"Use canonical term exam_material in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.029,What type is 'exam_material'?,document,dictionary,MVP,,exam_materials,,,restricted,Classify exam_material as document.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.030,What is the primary identifier for 'exam_material'?,material_id,dictionary,MVP,,exam_materials,,,restricted,Ensure identifier material_id exists or is mapped for exam_material.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.031,What is the term 'courier_batch'?,Package/dispatch record of answer sheets sent by school to Finverse.,dictionary,MVP,,courier_batches,,,sensitive,"Use canonical term courier_batch in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.032,What type is 'courier_batch'?,entity,dictionary,MVP,,courier_batches,,,sensitive,Classify courier_batch as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.033,What is the primary identifier for 'courier_batch'?,batch_id,dictionary,MVP,,courier_batches,,,sensitive,Ensure identifier batch_id exists or is mapped for courier_batch.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.034,What is the term 'omr_import'?,Uploaded evaluation output from OMR processing.,dictionary,MVP,,omr_imports,,,restricted,"Use canonical term omr_import in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.035,What type is 'omr_import'?,entity,dictionary,MVP,,omr_imports,,,restricted,Classify omr_import as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.036,What is the primary identifier for 'omr_import'?,import_id,dictionary,MVP,,omr_imports,,,restricted,Ensure identifier import_id exists or is mapped for omr_import.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.037,What is the term 'result'?,Approved or draft score/rank record for a candidate.,dictionary,MVP,,results,,,sensitive,"Use canonical term result in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.038,What type is 'result'?,entity,dictionary,MVP,,results,,,sensitive,Classify result as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.039,What is the primary identifier for 'result'?,result_id,dictionary,MVP,,results,,,sensitive,Ensure identifier result_id exists or is mapped for result.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.040,What is the term 'rank'?,Position of student within school/city/state/national grouping.,dictionary,MVP,,results,,,sensitive,"Use canonical term rank in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.041,What type is 'rank'?,data_element,dictionary,MVP,,results,,,sensitive,Classify rank as data_element.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.042,What is the primary identifier for 'rank'?,rank_value,dictionary,MVP,,results,,,sensitive,Ensure identifier rank_value exists or is mapped for rank.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.043,What is the term 'certificate'?,Generated PDF recognising participation/achievement.,dictionary,MVP,,certificates,,,sensitive,"Use canonical term certificate in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.044,What type is 'certificate'?,document,dictionary,MVP,,certificates,,,sensitive,Classify certificate as document.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.045,What is the primary identifier for 'certificate'?,certificate_number,dictionary,MVP,,certificates,,,sensitive,Ensure identifier certificate_number exists or is mapped for certificate.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.046,What is the term 'verification_code'?,Public-safe unique code used to verify certificate authenticity.,dictionary,MVP,,certificates,,,public,"Use canonical term verification_code in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.047,What type is 'verification_code'?,identifier,dictionary,MVP,,certificates,,,public,Classify verification_code as identifier.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.048,What is the primary identifier for 'verification_code'?,verification_code,dictionary,MVP,,certificates,,,public,Ensure identifier verification_code exists or is mapped for verification_code.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.049,What is the term 'audit_event'?,Immutable activity record of critical action.,dictionary,MVP,,audit_events,,,restricted,"Use canonical term audit_event in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.050,What type is 'audit_event'?,entity,dictionary,MVP,,audit_events,,,restricted,Classify audit_event as entity.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.051,What is the primary identifier for 'audit_event'?,audit_id,dictionary,MVP,,audit_events,,,restricted,Ensure identifier audit_id exists or is mapped for audit_event.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.052,What is the term 'status'?,Controlled lifecycle state of an entity.,dictionary,MVP,,multiple,,,internal,"Use canonical term status in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.053,What type is 'status'?,code,dictionary,MVP,,multiple,,,internal,Classify status as code.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.054,What is the primary identifier for 'status'?,status,dictionary,MVP,,multiple,,,internal,Ensure identifier status exists or is mapped for status.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.055,What is the term 'response_code'?,Standardised API/action result code inspired by ISO 8583 response codes.,dictionary,MVP,,messages,,,internal,"Use canonical term response_code in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.056,What type is 'response_code'?,code,dictionary,MVP,,messages,,,internal,Classify response_code as code.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.057,What is the primary identifier for 'response_code'?,response_code,dictionary,MVP,,messages,,,internal,Ensure identifier response_code exists or is mapped for response_code.,Schema test checks identifier field.,Yes
04 Domain Dictionary,domain_dictionary,04.058,What is the term 'trace_id'?,"Unique reference for audit, idempotency, reconciliation and support.",dictionary,MVP,,messages/audit,,,restricted,"Use canonical term trace_id in schema, API names, docs, and UI labels where suitable.",Check dictionary term referenced consistently.,Yes
04 Domain Dictionary,domain_dictionary,04.059,What type is 'trace_id'?,identifier,dictionary,MVP,,messages/audit,,,restricted,Classify trace_id as identifier.,Validate dictionary classification.,No
04 Domain Dictionary,domain_dictionary,04.060,What is the primary identifier for 'trace_id'?,trace_id,dictionary,MVP,,messages/audit,,,restricted,Ensure identifier trace_id exists or is mapped for trace_id.,Schema test checks identifier field.,Yes
05 Data Schema,collections,05.001,Should collection 'schools' be created?,Yes.,schema,MVP,,schools,,,sensitive,Create Directus collection schools with fields and relationships defined in schema rows.,Directus MCP schema inspection confirms collection exists.,Yes
05 Data Schema,fields,05.002,What field 'id' is required in collection 'schools'?,Type: uuid; Rule: required system primary key.,schema_field,MVP,,schools,,,restricted,Create field schools.id as uuid; enforce rule: required system primary key.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.003,What field 'school_code' is required in collection 'schools'?,"Type: string unique; Rule: required human-readable identifier, e.g. SCH-0001.",schema_field,MVP,,schools,,,sensitive,"Create field schools.school_code as string unique; enforce rule: required human-readable identifier, e.g. SCH-0001.",Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.004,What field 'name' is required in collection 'schools'?,Type: string; Rule: required school name.,schema_field,MVP,,schools,,,sensitive,Create field schools.name as string; enforce rule: required school name.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.005,What field 'board' is required in collection 'schools'?,"Type: enum; Rule: optional board: CBSE, ICSE, State, Cambridge, Other.",schema_field,MVP,,schools,,,internal,"Create field schools.board as enum; enforce rule: optional board: CBSE, ICSE, State, Cambridge, Other.",Schema test validates field type and presence.,No
05 Data Schema,fields,05.006,What field 'city' is required in collection 'schools'?,Type: string; Rule: required city.,schema_field,MVP,,schools,,,internal,Create field schools.city as string; enforce rule: required city.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.007,What field 'state' is required in collection 'schools'?,Type: string; Rule: required state.,schema_field,MVP,,schools,,,internal,Create field schools.state as string; enforce rule: required state.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.008,What field 'country' is required in collection 'schools'?,Type: string; Rule: default India.,schema_field,MVP,,schools,,,internal,Create field schools.country as string; enforce rule: default India.,Schema test validates field type and presence.,No
05 Data Schema,fields,05.009,What field 'address' is required in collection 'schools'?,Type: text; Rule: optional postal address.,schema_field,MVP,,schools,,,sensitive,Create field schools.address as text; enforce rule: optional postal address.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.010,What field 'principal_name' is required in collection 'schools'?,Type: string; Rule: optional.,schema_field,MVP,,schools,,,sensitive,Create field schools.principal_name as string; enforce rule: optional.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.011,What field 'coordinator_name' is required in collection 'schools'?,Type: string; Rule: required primary coordinator name.,schema_field,MVP,,schools,,,sensitive,Create field schools.coordinator_name as string; enforce rule: required primary coordinator name.,Schema test validates field type and presence.,Yes
05 Data Schema,fields,05.012,What field 'coordinator_email' is required in collection 'schools'?,Type: email; Rule: required unique login/contact candidate.,schema_field,MVP,,schools,,,sensitive,Create field schools.coordinator_email as email; enforce rule: required unique login/contact candidate.,Schema test validates field type and presence.,Yes
