question_id,section_code,section_title,question,answer_source_of_truth,decision,affected_company_portal_modules,priority,status,module_generation_rule,claude_status,claude_capability,claude_layer,claude_evidence
64,H,Payment and Finance Operations,Which roles can manually confirm payment?,Finance Admin can manually confirm payment. Finance Executive can prepare confirmation request. Company Admin can approve exceptions.,Finance Admin final manual confirmation.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,payment processing,logic,server-calc amounts /api/staff/finance/payment-link + HMAC-signed webhook /api/internal/payments/webhook (verified+idempotent); tested. Real gateway secret deferred WITH auth.
65,H,Payment and Finance Operations,Should manual payment confirmation require proof upload?,Yes. Proof upload is mandatory for manual payment confirmation.,Proof required.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,payment processing,logic,server-calc amounts /api/staff/finance/payment-link + HMAC-signed webhook /api/internal/payments/webhook (verified+idempotent); tested. Real gateway secret deferred WITH auth.
66,H,Payment and Finance Operations,Should manual payment confirmation require dual approval?,"Yes for above-threshold payments, late payments, mismatch payments or non-gateway/manual bank transfer cases. Normal low-risk cases can be Finance Admin only.",Dual approval for risky/manual exceptions.,finance_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
67,H,Payment and Finance Operations,Which payment states need staff action?,"Staff action states: payment_pending, payment_failed, payment_mismatch, manual_review_required, refund_requested, reversal_detected, reconciliation_exception.",Define finance action states.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
68,H,Payment and Finance Operations,Should finance staff see student-level details or only school/payment summaries?,"Finance should see school/payment summaries and student count, not individual student personal details by default.",No student PII for finance by default.,finance_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,field masking,logic,"FIELD_MASKING_MATRIX -> masking.ts; 8 tests (parent_phone/email, answer_key, internal_note, candidate_id, finance-vs-name)."
69,H,Payment and Finance Operations,Should refund/reversal be supported?,"Yes, but controlled. Refund/reversal support should be included as workflow with reason, proof and approval.",Refund/reversal supported through workflow.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,payment processing,logic,server-calc amounts /api/staff/finance/payment-link + HMAC-signed webhook /api/internal/payments/webhook (verified+idempotent); tested. Real gateway secret deferred WITH auth.
70,H,Payment and Finance Operations,Who can mark payment reversed?,Finance Admin can mark reversed with proof/reason. Company Admin approval required for high-risk or post-material-release reversal.,Finance Admin with approval where needed.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
71,H,Payment and Finance Operations,"Should finance reconciliation be daily, exam-wise, or school-wise?","All three: daily operational reconciliation, exam-wise summary and school-wise drill-down.",Daily + exam-wise + school-wise reconciliation.,finance_ops; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,payment processing,logic,server-calc amounts /api/staff/finance/payment-link + HMAC-signed webhook /api/internal/payments/webhook (verified+idempotent); tested. Real gateway secret deferred WITH auth.
72,H,Payment and Finance Operations,Should invoice/receipt generation be part of company portal?,"Yes, receipt generation in MVP. Formal tax invoice/GST can be later if required. Include fields so tax module can be added.",Receipt MVP; GST invoice later.,finance_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,invoicing,logic,computeInvoiceAmount (server-calc base/discount/GST/total) + receiptNumber; tested.
73,H,Payment and Finance Operations,Should GST/tax fields be included now or later?,Include optional GST/tax fields now but do not enforce full tax workflow unless business requires it.,Optional tax fields now; full workflow later.,finance_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,invoicing,logic,computeInvoiceAmount (server-calc base/discount/GST/total) + receiptNumber; tested.
74,I,Exam Slot Operations,Which staff role creates exam slots?,Exam Operations Manager and Operations Head can create exam slots. Company Admin can override.,Exam Operations Manager/Operations Head.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
75,I,Exam Slot Operations,Which staff role publishes exam slots?,Operations Head or Exam Operations Manager publishes slots. Company Admin can override.,Operations Head/Exam Operations Manager.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
76,I,Exam Slot Operations,Should exam slots require approval before publishing?,Yes for new exam cycles and major schedule changes. Simple edits before publish can be single-role controlled.,Approval for new cycles/major changes.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
77,I,Exam Slot Operations,Can staff assign a school to a slot manually?,Yes. Exam Operations Manager can manually assign/reschedule a school with reason and capacity checks.,Manual assignment allowed with reason.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
78,I,Exam Slot Operations,Can staff reschedule a school’s slot?,"Yes with reason, audit and downstream material impact check.",Reschedule allowed with impact check.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
79,I,Exam Slot Operations,Should reschedule require reason?,Yes. Reschedule always requires reason.,Reason required.,exam_slot_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
80,I,Exam Slot Operations,Should capacity conflicts be shown to staff?,Yes. Capacity conflicts must be visible and blocking unless override approved.,Show/block capacity conflicts.,exam_slot_ops; company_dashboard,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
81,I,Exam Slot Operations,Should staff lock exam slots before material generation?,Yes. Material generation requires confirmed/locked slot.,Slot lock required before material generation.,exam_slot_ops; exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
82,J,Exam Materials Operations,Which staff role generates exam materials?,"Material Release Manager, Exam Operations Manager or authorized system job can generate materials after gates pass.",Material Release Manager/Exam Ops/system.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
83,J,Exam Materials Operations,Which role approves exam material release?,Operations Head or Material Release Manager approves. Dual approval required for question paper release close to exam or high-risk changes.,Material Release Manager/Operations Head.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
84,J,Exam Materials Operations,Should material release require dual approval?,"Yes for question paper release, replacement after approval, release-time overrides and revocation. Routine non-sensitive materials can be single approval.",Dual approval for high-risk material actions.,exam_material_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
85,J,Exam Materials Operations,Who can revoke released materials?,"Operations Head, Company Admin or Security/Admin Reviewer can revoke with reason and downstream notification.",Restricted revoke with reason.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
86,J,Exam Materials Operations,Should question paper downloads be visible to operations staff?,"Yes. Operations staff should see download status, time and user, but not necessarily file contents unless authorized.",Download audit visible; file access restricted.,exam_material_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,audit,logic,"append-only hash-chained audit (0006/0007 trigger BLOCKS update+delete, verified on Supabase); wired in routeHandlers+jobs."
87,J,Exam Materials Operations,Should staff see download history by school?,Yes. Staff dashboard should show school-wise material download history.,Show school-wise download history.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,file storage / signed URL,logic,signedUrl.ts real Supabase Storage createSignedUrl from file_metadata (never leaks path); finance+release gate on /api/school/materials verified 403. Bucket+files seeded WITH auth.
88,J,Exam Materials Operations,Should material release be automatic based on timer or manual?,Support both. MVP can use scheduled release timer with manual approve/release override by authorized staff.,Scheduled release plus manual override.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
89,J,Exam Materials Operations,Should staff upload/replace question paper files?,"Authorized content/material roles can upload before approval. Replacement after approval requires reason, dual approval and versioning.",Controlled upload/replace with versioning.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
90,J,Exam Materials Operations,Should file replacement after approval require reason and audit?,"Yes. Mandatory reason, audit, version increment and possibly notification to affected schools.",Reason/audit/version required.,exam_material_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,audit,logic,"append-only hash-chained audit (0006/0007 trigger BLOCKS update+delete, verified on Supabase); wired in routeHandlers+jobs."
91,K,Courier and Logistics Operations,Which staff role creates courier batches?,Courier/Logistics Manager and Operations Executive can create courier batches. Operations Head can override.,Courier/Logistics Manager/Operations Executive.,courier_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
92,K,Courier and Logistics Operations,Which staff role enters AWB/tracking details?,Courier/Logistics Manager or Operations Executive enters AWB/tracking details. School may submit return AWB for return shipment.,Ops/courier staff plus school return submission.,courier_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
93,K,Courier and Logistics Operations,Should courier provider integration be manual or API-based later?,Manual in MVP. API integration later through change request.,Manual MVP; API later.,courier_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,courier,logic,courier_ops CRUD + dispatch/receive transitions + reconcileCount (shortage/excess/approval) + UI; tested.
94,K,Courier and Logistics Operations,Can schools submit return courier details?,Yes. Schools can submit own return AWB/receipt through school portal; company portal reviews it.,School return submission supported.,courier_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
95,K,Courier and Logistics Operations,Which staff role confirms receipt of returned answer sheets?,"Courier/Logistics Manager, Operations Executive or Evaluation Center Intake Operator confirms receipt. Operations Head handles exceptions.",Courier/Ops/Evaluation intake.,courier_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,invoicing,logic,computeInvoiceAmount (server-calc base/discount/GST/total) + receiptNumber; tested.
96,K,Courier and Logistics Operations,Who resolves count mismatch?,Operations Head or Courier/Logistics Manager can resolve. Evaluation Manager must be involved if OMR import is affected.,Ops Head/Courier Manager; Evaluation involved if OMR affected.,courier_ops; evaluation_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,evaluation / scoring,logic,scoring+ranking (server/eval) via /api/staff/evaluation/score (answer key + responses -> scores+rank); tested + audited.
97,K,Courier and Logistics Operations,Should mismatch resolution require manager approval?,Yes for shortage/excess beyond tolerance or if OMR import would proceed despite mismatch.,Manager approval for material mismatch exceptions.,courier_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
98,K,Courier and Logistics Operations,"Should courier reports be school-wise, state-wise, or exam-wise?","All three. Reports should support school-wise, state/region-wise and exam/olympiad-wise views.",All report dimensions.,courier_ops; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
99,K,Courier and Logistics Operations,Should lost/damaged shipment incidents be tracked separately?,Yes. Lost/damaged shipment creates courier exception and security/operations incident when high risk.,Separate incident tracking.,courier_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,courier,logic,courier_ops CRUD + dispatch/receive transitions + reconcileCount (shortage/excess/approval) + UI; tested.
100,L,OMR / Evaluation Operations,Which staff role uploads OMR scan/CSV files?,OMR Import Operator and Evaluation Manager can upload. Operations staff can hand over files but not approve scoring.,OMR Operator/Evaluation Manager.,evaluation_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,evaluation / scoring,logic,scoring+ranking (server/eval) via /api/staff/evaluation/score (answer key + responses -> scores+rank); tested + audited.
101,L,OMR / Evaluation Operations,Which staff role uploads answer keys?,Evaluation Manager or Question Paper/Content Manager can upload answer keys. Activation/approval requires Results Approver/Evaluation Manager separation if possible.,Evaluation Manager/Content Manager upload; approval separated.,evaluation_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,evaluation / scoring,logic,scoring+ranking (server/eval) via /api/staff/evaluation/score (answer key + responses -> scores+rank); tested + audited.
102,L,OMR / Evaluation Operations,Should answer key approval require dual approval?,Yes. Answer key approval should require dual approval for final exams: Content Manager + Evaluation Manager or Evaluation Manager + Results Approver.,Dual approval for answer keys.,evaluation_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
103,L,OMR / Evaluation Operations,Should answer key be hidden from operations staff?,Yes. Operations staff should not see answer keys. Only evaluation/content authorized roles see them.,Hide answer keys from operations.,evaluation_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,field masking,logic,"FIELD_MASKING_MATRIX -> masking.ts; 8 tests (parent_phone/email, answer_key, internal_note, candidate_id, finance-vs-name)."
104,L,OMR / Evaluation Operations,Should OMR operators see student names or only candidate IDs?,OMR operators see only candidate IDs and sheet identifiers by default. Evaluation Manager may access mapping.,Candidate ID only for OMR operators.,evaluation_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,field masking,logic,"FIELD_MASKING_MATRIX -> masking.ts; 8 tests (parent_phone/email, answer_key, internal_note, candidate_id, finance-vs-name)."
105,L,OMR / Evaluation Operations,Who can approve OMR import for results?,Evaluation Manager or Results Approver can approve OMR import for results. OMR Import Operator cannot approve own import.,Evaluation Manager/Results Approver; maker-checker.,evaluation_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
106,L,OMR / Evaluation Operations,Should exceptions be assigned to evaluators?,Yes. Exceptions can be assigned to Evaluation Manager or specialized reviewers with candidate-ID-only view.,Exception assignment supported.,evaluation_ops; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
107,L,OMR / Evaluation Operations,Should manual score correction be allowed at all?,Not in MVP except through audited correction/recalculation workflow after formal approval. Direct score edit is forbidden.,No direct manual score edit.,evaluation_ops; results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
108,L,OMR / Evaluation Operations,"If manual correction is allowed, who approves it?","If enabled later, requires Evaluation Manager + Results Approver + Security/Admin Reviewer for high-impact corrections.",Strict multi-approval if later enabled.,evaluation_ops,Later,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
109,L,OMR / Evaluation Operations,Should evaluation batches have SLA tracking?,"Yes. Track OMR upload, validation, exception resolution, scoring approval and result handoff SLA.",Evaluation SLA required.,evaluation_ops; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,task queue,logic,auto-task-from-transition (taskFromTransition) wired in kernel + work_tasks insert; CRUD+UI; job runner (retry/DLQ) tested.
110,L,OMR / Evaluation Operations,Should re-evaluation be supported now or later?,Later. MVP should keep extension points for re-evaluation but not implement full workflow.,Re-evaluation later.,evaluation_ops; results_ops,Later,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,evaluation / scoring,logic,scoring+ranking (server/eval) via /api/staff/evaluation/score (answer key + responses -> scores+rank); tested + audited.
111,M,Results Operations,Which role generates results?,Results can be generated by system job or Evaluation Manager after OMR approved-for-results.,System/Evaluation Manager.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
112,M,Results Operations,Which role approves results?,Results Approver and Evaluation Manager approve. High-risk result publication should require dual approval.,Results Approver/Evaluation Manager.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
113,M,Results Operations,Which role publishes results?,Results Approver or Company Admin publishes after approval. System can publish scheduled batches once approved.,Results Approver/Company Admin/system scheduled.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
114,M,Results Operations,Should result publication require dual approval?,"Yes. For final publication, use dual approval: Evaluation Manager + Results Approver or Results Approver + Company Admin.",Dual approval for publication.,results_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
115,M,Results Operations,Should results be school-visible only or public too?,MVP: school-visible only. Public result lookup is later optional and must pass privacy/security review.,School-visible only MVP.,results_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
116,M,Results Operations,Should staff be able to withhold individual results?,Yes. Results Approver/Evaluation Manager can withhold with reason.,Withhold supported with reason.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
117,M,Results Operations,Should result correction after publication be allowed?,"Yes, through audited correction workflow requiring reason, approval, rank recalculation and certificate impact check.",Correction allowed through workflow.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
118,M,Results Operations,Should result correction trigger certificate revocation/reissue?,"Yes. If published result affects issued certificates, certificate revoke/reissue workflow must be triggered.",Trigger certificate impact workflow.,results_ops; certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,certificate generation,logic,certificate.generate handler creates certs + public_verification (verification codes); public verify runtime-verified READ from Supabase. PDF render deferred WITH auth.
119,M,Results Operations,"Should ranking be national, state, school, grade, subject, or all?","Support all as configurable dimensions: national, state, school, grade and subject where data supports it. MVP can show school/grade/national.",All dimensions; MVP school/grade/national.,results_ops; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
120,M,Results Operations,Should tie rules be configurable?,Yes. Default competition ranking; allow future dense/ordinal options through versioned ranking policy.,Configurable tie rules.,results_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
121,N,Certificates Operations,Which role manages certificate templates?,Certificate Manager manages templates. Company Admin can approve/override. Security review needed for public verification changes.,Certificate Manager.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,certificate generation,logic,certificate.generate handler creates certs + public_verification (verification codes); public verify runtime-verified READ from Supabase. PDF render deferred WITH auth.
122,N,Certificates Operations,Which role generates certificates?,System or Certificate Manager generates certificates after results are published.,System/Certificate Manager.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
123,N,Certificates Operations,Which role publishes certificates?,Certificate Manager publishes. Company Admin can approve high-risk/reissue cases.,Certificate Manager; Company Admin for exceptions.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
124,N,Certificates Operations,Should certificates be generated automatically after results publication?,"Yes, for eligible published results using active templates. Manual batch generation also allowed.",Auto-generate eligible certificates after results publication.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,certificate generation,logic,certificate.generate handler creates certs + public_verification (verification codes); public verify runtime-verified READ from Supabase. PDF render deferred WITH auth.
125,N,Certificates Operations,Should certificate verification be public?,"Yes, public verification by QR/verification code with minimal fields only.",Public minimal verification enabled.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
126,N,Certificates Operations,"Should certificate PDF be downloadable by school only, student/parent also, or both later?",MVP: school downloads. Later: student/parent download via secure link/OTP.,School-only MVP; parent/student later.,certificate_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,certificate generation,logic,certificate.generate handler creates certs + public_verification (verification codes); public verify runtime-verified READ from Supabase. PDF render deferred WITH auth.
127,N,Certificates Operations,Should certificate revocation be supported?,Yes. Revocation requires reason and audit; public verification shows invalid/revoked status.,Revocation supported.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
128,N,Certificates Operations,Should certificate reissue require approval?,"Yes. Reissue requires reason, previous certificate supersede/revoke and approval.",Approval required for reissue.,certificate_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,certificate generation,logic,certificate.generate handler creates certs + public_verification (verification codes); public verify runtime-verified READ from Supabase. PDF render deferred WITH auth.
129,N,Certificates Operations,Should digital signature integration be required now or later?,Later. MVP should support template/signature placeholder. Digital signature provider like DocuSeal can be added later.,Digital signature later.,certificate_ops,Later,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
130,O,Notifications and Communications,Which staff role manages notification templates?,Notifications/Communications Manager and Operations Admin manage templates. Company Admin approves critical templates.,Communications Manager/Ops Admin.,notification_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
131,O,Notifications and Communications,Which events require notification?,"Notify for school approval, student upload validation, payment link/success/failure, exam slot confirmation, material release/revocation, courier dispatched/return/received/mismatch, OMR exception, results published, certificates available/revoked, support ticket updates and security-critical alerts.",Use comprehensive event catalog.,notification_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
132,O,Notifications and Communications,Which channels are required in MVP?,MVP channels: email and in-app. SMS/WhatsApp later.,Email + in-app MVP.,notification_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
133,O,Notifications and Communications,Should staff be able to send manual announcements to schools?,"Yes. Manual announcements to selected schools/groups should be supported, but approval required for bulk/critical messages.",Manual announcements supported with approval for bulk.,notification_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
134,O,Notifications and Communications,Should announcements require approval?,"Yes for bulk announcements, exam-critical messages, result/certificate/publication messages and any message to all schools.",Approval for bulk/critical announcements.,notification_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
