effect_id,module_id,module_name,action_id,action_label,actor,source_screen,api_or_worker,preconditions,validation,server_effect,records_created,records_updated,audit_event,downstream_effect,ui_result,error_states,guardrails,high_risk,journey_test_id
FX-046,results_ops,Results Ops,publish_results,Approve/publish results,Authorized Staff,Results Ops - Approve/publish results,POST /batches/{id}/publish,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",results published and school visibility enabled,as defined by module action and effect chain,source entity status/data plus downstream records,results_ops.publish_results,dashboard/task/job/notification/portal state updates where applicable,school results update,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-046
FX-047,results_ops,Results Ops,withhold_result,Withhold result,Authorized Staff,Results Ops - Withhold result,POST /results/{id}/withhold,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",result withheld,as defined by module action and effect chain,source entity status/data plus downstream records,results_ops.withhold_result,dashboard/task/job/notification/portal state updates where applicable,school/public hidden,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-047
FX-048,results_ops,Results Ops,correct_result,Correct published result,Authorized Staff,Results Ops - Correct published result,POST /results/{id}/corrections,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",new result version and certificate impact review created,as defined by module action and effect chain,source entity status/data plus downstream records,results_ops.correct_result,dashboard/task/job/notification/portal state updates where applicable,version history visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-048
FX-049,certificate_ops,Certificate Ops,generate_certificates,Generate certificates,Authorized Staff,Certificate Ops - Generate certificates,POST /certificate-ops/generate,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",certificate jobs queued,as defined by module action and effect chain,source entity status/data plus downstream records,certificate_ops.generate_certificates,dashboard/task/job/notification/portal state updates where applicable,generation status visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-049
FX-050,certificate_ops,Certificate Ops,publish_certificates,Publish certificates,Authorized Staff,Certificate Ops - Publish certificates,POST /batches/{id}/publish,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",school download and verification records enabled,as defined by module action and effect chain,source entity status/data plus downstream records,certificate_ops.publish_certificates,dashboard/task/job/notification/portal state updates where applicable,certificates visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-050
FX-051,certificate_ops,Certificate Ops,revoke_certificate,Revoke certificate,Authorized Staff,Certificate Ops - Revoke certificate,POST /certificates/{id}/revoke,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",certificate revoked,as defined by module action and effect chain,source entity status/data plus downstream records,certificate_ops.revoke_certificate,dashboard/task/job/notification/portal state updates where applicable,verification shows revoked,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-051
FX-052,certificate_ops,Certificate Ops,reissue_certificate,Reissue certificate,Authorized Staff,Certificate Ops - Reissue certificate,POST /certificates/{id}/reissue,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",new certificate version created,as defined by module action and effect chain,source entity status/data plus downstream records,certificate_ops.reissue_certificate,dashboard/task/job/notification/portal state updates where applicable,new certificate visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-052
FX-053,notification_ops,Notification Ops,create_template,Create template,Authorized Staff,Notification Ops - Create template,POST /notification-ops/templates,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",template draft created,as defined by module action and effect chain,source entity status/data plus downstream records,notification_ops.create_template,dashboard/task/job/notification/portal state updates where applicable,template visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-053
FX-054,notification_ops,Notification Ops,approve_bulk_send,Approve bulk notification,Authorized Staff,Notification Ops - Approve bulk notification,POST /batches/{id}/approve,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",batch approved and dispatch job queued,as defined by module action and effect chain,source entity status/data plus downstream records,notification_ops.approve_bulk_send,dashboard/task/job/notification/portal state updates where applicable,status queued/sending,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-054
FX-055,notification_ops,Notification Ops,dispatch_batch,Dispatch notification batch,System Worker,Notification Ops - Dispatch notification batch,worker:notification.dispatch_batch,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",delivery attempts stored,as defined by module action and effect chain,source entity status/data plus downstream records,notification_ops.dispatch_batch,dashboard/task/job/notification/portal state updates where applicable,delivery summary visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-055
FX-056,notification_ops,Notification Ops,process_failure_optout,Process failure/opt-out,Authorized Staff,Notification Ops - Process failure/opt-out,POST /deliveries/{id}/status,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",delivery/opt-out state updated,as defined by module action and effect chain,source entity status/data plus downstream records,notification_ops.process_failure_optout,dashboard/task/job/notification/portal state updates where applicable,future sends respect consent,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-056
FX-057,support_tickets,Support Tickets,create_ticket,Create school ticket,School Coordinator,Support Tickets - Create school ticket,POST /school/support-tickets,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard","ticket created, SLA timer and task started",as defined by module action and effect chain,source entity status/data plus downstream records,support_tickets.create_ticket,dashboard/task/job/notification/portal state updates where applicable,ticket visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-057
FX-058,support_tickets,Support Tickets,add_internal_note,Add internal note,Authorized Staff,Support Tickets - Add internal note,POST /support-tickets/{id}/internal-notes,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",internal note created,as defined by module action and effect chain,source entity status/data plus downstream records,support_tickets.add_internal_note,dashboard/task/job/notification/portal state updates where applicable,staff-only note visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-058
FX-059,support_tickets,Support Tickets,link_safe_context,Link safe source context,Authorized Staff,Support Tickets - Link safe source context,POST /support-tickets/{id}/link,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",safe summary linked after permission check,as defined by module action and effect chain,source entity status/data plus downstream records,support_tickets.link_safe_context,dashboard/task/job/notification/portal state updates where applicable,context card visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-059
FX-060,support_tickets,Support Tickets,resolve_ticket,Resolve ticket,Authorized Staff,Support Tickets - Resolve ticket,POST /support-tickets/{id}/resolve,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",ticket resolved and school notified,as defined by module action and effect chain,source entity status/data plus downstream records,support_tickets.resolve_ticket,dashboard/task/job/notification/portal state updates where applicable,ticket closed,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-060
FX-061,task_work_queue,Task Work Queue,create_task,Create task from effect,Authorized Staff,Task Work Queue - Create task from effect,internal task service,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",task with owner/SLA/source created,as defined by module action and effect chain,source entity status/data plus downstream records,task_work_queue.create_task,dashboard/task/job/notification/portal state updates where applicable,task in queue,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-061
FX-062,task_work_queue,Task Work Queue,assign_task,Assign task,Authorized Staff,Task Work Queue - Assign task,POST /tasks/{id}/assign,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",assignee changed,as defined by module action and effect chain,source entity status/data plus downstream records,task_work_queue.assign_task,dashboard/task/job/notification/portal state updates where applicable,assignee queue updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-062
FX-063,task_work_queue,Task Work Queue,record_decision,Approve/reject task decision,Authorized Staff,Task Work Queue - Approve/reject task decision,POST /tasks/{id}/decision,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",decision stored and source workflow advances,as defined by module action and effect chain,source entity status/data plus downstream records,task_work_queue.record_decision,dashboard/task/job/notification/portal state updates where applicable,source status updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-063
FX-064,task_work_queue,Task Work Queue,escalate_overdue,Escalate overdue task,System Worker,Task Work Queue - Escalate overdue task,worker:task.scan_overdue,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",escalation and notification created,as defined by module action and effect chain,source entity status/data plus downstream records,task_work_queue.escalate_overdue,dashboard/task/job/notification/portal state updates where applicable,task highlighted overdue,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-064
FX-065,reports_exports,Reports & Exports,run_safe_report,Run safe report,Authorized Staff,Reports & Exports - Run safe report,POST /reports/{id}/run,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",safe report snapshot generated,as defined by module action and effect chain,source entity status/data plus downstream records,reports_exports.run_safe_report,dashboard/task/job/notification/portal state updates where applicable,report visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-065
FX-066,reports_exports,Reports & Exports,request_sensitive_export,Request sensitive export,Authorized Staff,Reports & Exports - Request sensitive export,POST /exports,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",export request and approval task created,as defined by module action and effect chain,source entity status/data plus downstream records,reports_exports.request_sensitive_export,dashboard/task/job/notification/portal state updates where applicable,export pending approval,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-066
FX-067,reports_exports,Reports & Exports,generate_export,Generate approved export,System Worker,Reports & Exports - Generate approved export,worker:export.generate,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",private export file created,as defined by module action and effect chain,source entity status/data plus downstream records,reports_exports.generate_export,dashboard/task/job/notification/portal state updates where applicable,export ready,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-067
FX-068,reports_exports,Reports & Exports,download_export,Download export,Authorized Staff,Reports & Exports - Download export,POST /exports/{id}/download-url,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",signed URL and download audit created,as defined by module action and effect chain,source entity status/data plus downstream records,reports_exports.download_export,dashboard/task/job/notification/portal state updates where applicable,download starts,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-068
FX-069,admin_settings,Admin Settings,update_feature_flag,Update feature flag,Authorized Staff,Admin Settings - Update feature flag,POST /feature-flags/{key},"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",flag change request or update created,as defined by module action and effect chain,source entity status/data plus downstream records,admin_settings.update_feature_flag,dashboard/task/job/notification/portal state updates where applicable,flag state visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-069
FX-070,admin_settings,Admin Settings,update_policy,Update policy threshold,Authorized Staff,Admin Settings - Update policy threshold,POST /policies/{id},"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",new policy version created,as defined by module action and effect chain,source entity status/data plus downstream records,admin_settings.update_policy,dashboard/task/job/notification/portal state updates where applicable,version history visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-070
FX-071,admin_settings,Admin Settings,configure_provider,Configure provider,Authorized Staff,Admin Settings - Configure provider,POST /providers/{id},"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",provider config updated without exposing secret,as defined by module action and effect chain,source entity status/data plus downstream records,admin_settings.configure_provider,dashboard/task/job/notification/portal state updates where applicable,health check visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-071
FX-072,admin_settings,Admin Settings,run_settings_review,Run settings review,Authorized Staff,Admin Settings - Run settings review,POST /review/run,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",review findings and tasks created,as defined by module action and effect chain,source entity status/data plus downstream records,admin_settings.run_settings_review,dashboard/task/job/notification/portal state updates where applicable,findings visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-072
FX-073,security_audit_console,Security & Audit Console,view_audit,View audit timeline,Authorized Staff,Security & Audit Console - View audit timeline,GET /audit-events,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",restricted audit view loaded,as defined by module action and effect chain,source entity status/data plus downstream records,security_audit_console.view_audit,dashboard/task/job/notification/portal state updates where applicable,timeline visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-073
FX-074,security_audit_console,Security & Audit Console,create_incident,Create security incident,Authorized Staff,Security & Audit Console - Create security incident,POST /incidents,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",incident and tasks created,as defined by module action and effect chain,source entity status/data plus downstream records,security_audit_console.create_incident,dashboard/task/job/notification/portal state updates where applicable,incident visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-074
FX-075,security_audit_console,Security & Audit Console,run_drift_scan,Run permission drift scan,System Worker,Security & Audit Console - Run permission drift scan,worker:security.permission_drift_scan,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",findings/incidents/tasks created,as defined by module action and effect chain,source entity status/data plus downstream records,security_audit_console.run_drift_scan,dashboard/task/job/notification/portal state updates where applicable,security dashboard updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-075
FX-076,security_audit_console,Security & Audit Console,verify_audit_hashes,Verify audit hashes,System Worker,Security & Audit Console - Verify audit hashes,worker:security.audit_hash_verify,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",verification result stored; incident on mismatch,as defined by module action and effect chain,source entity status/data plus downstream records,security_audit_console.verify_audit_hashes,dashboard/task/job/notification/portal state updates where applicable,audit health panel updates,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-076
